school,sex,age,G1,G2,G3,Total
School A,M,15,7,9,0,16
School A,M,16,9,9,9,27
School A,F,15,9,11,11,31
School A,F,16,14,14,13,41
School A,M,17,5,0,0,5
School A,F,15,8,11,11,30
School A,F,15,6,7,0,13
School A,F,15,10,11,11,32
School A,M,16,7,6,0,13
School A,M,15,8,9,10,27
School A,M,18,6,5,0,11
School A,M,16,12,13,14,39
School A,F,15,10,10,10,30
School A,M,19,5,0,0,5
School A,F,17,11,11,12,34
School A,M,15,11,8,8,27
School A,M,17,16,12,13,41
School A,F,18,9,8,10,27
School A,M,16,17,15,15,47
School A,M,16,10,12,12,34
School A,M,17,7,6,0,13
School A,M,15,5,9,7,21
School A,M,16,7,0,0,7
School A,M,17,10,10,10,30
School A,M,17,5,8,7,20
School A,M,16,12,11,12,35
School A,M,16,10,10,10,30
School A,F,16,14,15,16,45
School A,F,16,6,7,0,13
School A,F,16,14,14,14,42
School A,M,16,6,5,0,11
School A,M,16,13,15,16,44
School A,M,17,13,11,10,34
School A,F,16,8,7,0,15
School A,F,16,10,11,9,30
School A,M,17,10,9,9,28
School A,F,16,13,13,11,37
School A,M,17,6,5,6,17
School A,M,16,10,8,9,27
School A,M,17,10,10,11,31
School A,M,16,9,8,8,25
School A,M,16,12,13,12,37
School A,F,17,16,17,17,50
School A,F,17,9,9,8,26
School A,F,16,12,13,12,37
School A,M,17,12,12,11,35
School A,M,16,11,12,11,34
School A,M,16,15,15,15,45
School A,F,17,8,7,9,24
School A,M,17,8,9,10,27
School A,F,16,11,12,13,36
School A,F,17,8,8,9,25
School A,M,17,7,8,8,23
School A,M,16,8,9,10,27
School A,M,16,13,14,14,41
School A,F,17,14,15,15,44
School A,M,17,17,15,16,48
School A,M,16,9,9,10,28
School A,F,17,18,18,18,54
School A,F,16,9,9,10,28
School A,F,16,16,16,16,48
School A,F,16,8,10,10,28
School A,F,17,9,9,10,28
School A,F,17,7,6,6,19
School A,F,16,10,10,11,31
School A,F,17,10,9,9,28
School A,F,16,7,7,7,21
School A,F,16,11,12,13,36
School A,F,16,9,9,10,28
School A,F,17,7,7,7,21
School A,F,19,8,8,8,24
School A,M,17,12,12,13,37
School A,F,16,12,13,14,39
School A,M,18,6,7,8,21
School A,F,17,8,10,10,28
School A,F,17,14,15,15,44
School A,F,17,6,6,4,16
School A,M,18,6,6,8,20
School A,F,17,7,7,8,22
School A,F,17,9,10,10,29
School A,F,17,6,6,6,18
School A,F,17,6,5,0,11
School A,F,16,16,16,17,49
School A,M,18,12,13,13,38
School A,F,16,13,13,14,40
School A,F,18,9,8,7,24
School A,F,17,16,15,15,46
School A,M,17,12,11,12,35
School A,M,18,10,8,9,27
School A,F,17,12,10,12,34
School A,F,17,13,13,14,40
School A,M,17,11,11,11,33
School A,M,17,11,9,9,29
School A,M,16,14,13,13,40
School A,M,16,9,7,6,22
School A,M,16,11,9,10,30
School A,M,17,14,13,13,40
School A,F,16,13,12,12,37
School A,F,17,13,11,11,35
School A,M,18,7,7,0,14
School A,M,17,12,12,12,36
School A,M,17,10,11,12,33
School A,M,16,6,0,0,6
School A,M,16,13,12,12,37
School A,F,18,7,0,0,7
School A,M,16,18,18,18,54
School A,M,17,12,12,13,37
School A,M,22,6,8,8,22
School A,M,18,3,5,5,13
School A,M,16,13,15,15,43
School A,M,18,6,8,8,22
School A,M,16,7,10,10,27
School A,M,18,6,9,8,23
School A,M,16,8,9,8,25
School A,M,17,8,12,12,32
School A,M,17,7,9,8,24
School A,F,17,14,12,13,39
School A,M,19,11,11,11,33
School A,M,18,15,14,14,43
School A,F,17,10,9,0,19
School A,F,18,17,18,18,53
School A,M,18,8,8,8,24
School A,M,18,13,12,12,37
School A,F,17,10,9,9,28
School A,F,18,9,10,0,19
School A,M,18,17,17,17,51
School A,M,17,9,9,10,28
School A,F,18,12,10,11,33
School A,M,18,10,9,10,29
School A,F,18,6,0,0,6
School A,F,19,9,9,9,27
School A,F,18,15,14,14,43
School A,F,18,11,11,11,33
School A,M,17,15,14,14,43
School A,F,17,10,10,10,30
School A,F,17,12,12,12,36
School A,F,18,10,9,9,28
School A,M,18,9,9,9,27
School A,F,18,9,8,8,25
School A,M,18,10,11,10,31
School A,M,17,8,8,8,24
School A,M,17,11,9,10,30
School A,F,18,12,12,12,36
School A,F,18,8,9,10,27
School A,F,17,10,9,11,30
School A,M,17,12,10,11,33
School A,F,18,18,18,19,55
School A,F,17,13,12,12,37
School A,M,18,15,14,14,43
School A,M,18,15,13,15,43
School A,M,18,12,11,11,34
School A,F,17,15,15,15,45
School A,F,18,12,12,13,37
School A,F,17,18,18,18,54
School A,M,18,14,13,14,41
School A,M,17,14,12,11,37
School A,F,19,10,9,0,19
School A,F,18,10,8,8,26
School A,F,18,14,13,14,41
School A,M,18,16,15,16,47
School A,F,18,12,10,11,33
School A,M,17,11,11,10,32
School A,F,17,15,12,14,41
School A,F,17,17,17,18,52
School A,M,19,15,14,13,42
School A,F,18,14,12,12,38
School A,M,20,17,18,18,53
School A,M,19,8,9,8,25
School A,M,19,15,12,12,39
School A,F,19,12,10,10,32
School A,F,19,9,9,0,18
School A,F,19,14,12,13,39
School A,M,19,13,11,11,35
School A,F,19,13,10,11,34
School A,F,19,15,13,13,41
School A,F,19,13,11,11,35
School A,F,18,8,8,0,16
School A,F,18,9,10,9,28
School A,F,17,11,11,10,32
School A,F,18,11,11,11,33
School A,F,17,13,13,13,39
School A,F,17,11,9,9,29
School A,F,17,11,11,11,33
School A,F,17,12,14,15,41
School A,F,17,16,15,15,46
School A,M,18,9,12,11,32
School A,M,17,14,15,16,45
School A,M,17,11,10,10,31
School A,F,17,10,9,9,28
School A,F,17,14,14,14,42
School A,M,18,9,8,8,25
School A,F,17,12,14,14,40
School A,F,18,7,0,0,7
School A,F,18,8,8,0,16
School A,F,18,10,9,0,19
School A,F,17,16,15,15,46
School A,F,19,14,13,13,40
School A,F,17,7,8,0,15
School A,F,18,16,15,17,48
School A,F,17,9,10,10,29
School A,F,19,11,12,11,34
School A,M,18,10,10,0,20
School A,M,18,16,15,15,46
School A,F,17,9,8,0,17
School A,F,18,11,10,10,31
School A,F,18,13,13,14,40
School A,M,18,16,15,16,47
School A,M,18,10,10,9,29
School A,F,17,13,15,15,43
School B,M,18,11,13,13,37
School B,M,19,8,7,8,23
School B,M,17,13,13,13,39
School B,M,18,8,7,8,23
School B,M,19,8,8,8,24
School B,M,17,13,11,11,35
School B,F,18,10,9,9,28
School B,F,17,12,13,13,38
School B,F,17,12,12,11,35
School B,M,18,10,10,10,30
School B,F,18,18,16,16,50
School B,F,18,13,13,13,39
School B,M,18,13,12,12,37
School B,F,18,11,11,10,32
School B,F,17,16,15,15,46
School B,F,17,12,11,12,35
School B,M,18,10,10,10,30
School B,M,18,13,13,13,39
School B,F,17,7,6,0,13
School B,F,18,11,10,10,31
School B,F,18,14,12,11,37
School B,F,19,7,7,9,23
School B,M,18,14,12,12,38
School B,F,17,13,11,11,35
School B,F,17,6,5,5,16
School B,F,18,19,18,19,56
School B,F,18,8,8,10,26
School B,F,20,15,14,15,44
School B,F,18,8,9,10,27
School B,F,18,15,15,15,45
School B,F,17,10,10,10,30
School B,M,18,15,14,14,43
School B,M,18,7,6,7,20
School B,M,17,11,11,10,32
School B,M,19,6,5,0,11
School B,M,18,6,5,5,16
School B,F,18,10,9,10,29
School B,F,18,6,5,6,17
School B,F,19,7,5,0,12
School B,F,18,7,9,8,24
School B,F,18,6,5,0,11
School B,M,20,9,9,9,27
School B,M,17,14,16,16,46
School B,M,21,10,8,7,25
School B,M,18,11,12,10,33
School B,M,19,8,9,9,26
